id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	lo_ci	up_ci	or	or_lci95	or_uci95	qvalue
ebi-a-GCST90001583	PCOS	PCOS	Monocyte Absolute Count	Inverse variance weighted	4	-0.653432527672867	0.144589166896514	6.20632655900453e-06	-0.936827294790035	-0.370037760555699	0.5202569121059	0.391869150449086	0.690708248617628	0.00237081674553973
ebi-a-GCST90001517	PCOS	PCOS	CD33+ HLA DR+ Absolute Count	Inverse variance weighted	3	0.475161477985397	0.118853900866929	6.39172312220062e-05	0.242207832286217	0.708115123684577	1.60827387734461	1.27405895588766	2.03016104756861	0.0244163823268064
ebi-a-GCST90001889	PCOS	PCOS	CD28 on activated & secreting CD4 regulatory T cell	Inverse variance weighted	4	-0.278411394015122	0.0729606376192208	0.000135680696058881	-0.421414243748795	-0.135408544281449	0.75698533820987	0.656118252222692	0.87335903295405	0.0518300258944925
ebi-a-GCST90001785	PCOS	PCOS	CD25 on IgD- CD24- B cell	Inverse variance weighted	4	-0.533178782495668	0.143481817409467	0.000202399633939765	-0.814403144618224	-0.251954420373112	0.586736893181335	0.442903597883869	0.777280165401484	0.0773166601649902
ebi-a-GCST90001480	PCOS	PCOS	Resting CD4 regulatory T cell Absolute Count	Inverse variance weighted	3	-0.427490415662785	0.116121248590891	0.000231943827711143	-0.655088062900932	-0.199892768424638	0.652143652330863	0.519396321026248	0.818818551573733	0.0886025421856568
ebi-a-GCST90001926	PCOS	PCOS	CD127 on granulocyte	Inverse variance weighted	3	0.522167548322792	0.142206150877419	0.000240748704750598	0.243443492603051	0.800891604042534	1.68567748007274	1.27563423303405	2.22752611464963	0.0919660052147284
ebi-a-GCST90001739	PCOS	PCOS	CD19 on Plasma Blast-Plasma Cell	Inverse variance weighted	3	0.601958809821346	0.173831713625611	0.000534421594815072	0.261248651115149	0.942668968527543	1.82569148255248	1.29855051132675	2.56682305415994	0.204149049219357
ebi-a-GCST90002032	PCOS	PCOS	CD39 on CD39+ CD4+ T cell	Inverse variance weighted	3	0.395793224370742	0.116215102013614	0.000659957960290814	0.16801162442406	0.623574824317425	1.4855621077511	1.18295036168453	1.86558527514482	0.252103940831091
ebi-a-GCST90001713	PCOS	PCOS	BAFF-R on IgD- CD38+ B cell	Inverse variance weighted	3	0.511361327427103	0.150502144902112	0.000679545824526221	0.216377123418964	0.806345531435242	1.66755974529324	1.2415705160403	2.23970806989766	0.259586504969016
ebi-a-GCST90001583	PCOS	PCOS	Monocyte Absolute Count	Weighted median	4	-0.647700948790364	0.193157658187073	0.000798759534529715	-1.02628995883703	-0.269111938743702	0.523247367465581	0.358333931123937	0.76405772319944	0.305126142190351
ebi-a-GCST90001887	PCOS	PCOS	CD28 on secreting CD4 regulatory T cell	Inverse variance weighted	3	-0.244143431579508	0.0738558204452866	0.000947474938570584	-0.38890083965227	-0.0993860235067464	0.783375265452766	0.677801477711969	0.905393137522744	0.361935426533963
ebi-a-GCST90001436	PCOS	PCOS	Memory B cell %lymphocyte	Inverse variance weighted	3	0.436532958621601	0.136756286617774	0.00141266683482462	0.168490636850763	0.704575280392439	1.54733323962291	1.18351714534532	2.02298730006428	0.539638730903004
ebi-a-GCST90001926	PCOS	PCOS	CD127 on granulocyte	Weighted median	3	0.492025589843086	0.156606578178539	0.00167916197046701	0.18507669661315	0.798974483073022	1.63562597408173	1.20331072644591	2.22325976848264	0.641439872718397
ebi-a-GCST90001527	PCOS	PCOS	CD33dim HLA DR+ CD11b- Absolute Count	Inverse variance weighted	3	-0.319507841794576	0.1018036538589	0.00169831588653738	-0.519043003358019	-0.119972680231132	0.726506505238877	0.595089774468671	0.886944667509481	0.64875666865728
ebi-a-GCST90001883	PCOS	PCOS	CD16-CD56 on Natural Killer T	Inverse variance weighted	3	0.289008055194791	0.0933092927826297	0.00195283775559495	0.106121841340837	0.471894269048745	1.33510248299576	1.11195735062774	1.60302788510293	0.74598402263727
ebi-a-GCST90001966	PCOS	PCOS	FSC-A on granulocyte	Weighted median	4	0.371820875179468	0.121227761888008	0.00216127406340947	0.134214461878972	0.609427288479965	1.45037316019163	1.14363806011358	1.83937766428946	0.825606692222416
ebi-a-GCST90001392	PCOS	PCOS	IgD+ CD38+ B cell Absolute Count	Inverse variance weighted	3	0.278725420283109	0.124452472612797	0.025116034652447	0.0347985739620259	0.522652266604191	1.3214444522069	1.03541112903224	1.68649475682237	1
ebi-a-GCST90001392	PCOS	PCOS	IgD+ CD38+ B cell Absolute Count	MR Egger	3	-0.0272889924003615	0.160442528055676	0.892746422372236	-0.341756347389486	0.287178362588763	0.973079988164729	0.710521303990818	1.33266188930333	1
ebi-a-GCST90001392	PCOS	PCOS	IgD+ CD38+ B cell Absolute Count	Weighted median	3	0.26998430019651	0.109723698463319	0.0138711366887781	0.0549258512084055	0.485042749184615	1.30994388471023	1.05646227637003	1.62424444248563	1
ebi-a-GCST90001411	PCOS	PCOS	IgD+ CD24+ B cell %B cell	Inverse variance weighted	3	-0.213893598577019	0.185655894084443	0.24928121584877	-0.577779150982527	0.14999195382849	0.807434292609953	0.561143198082456	1.16182489444831	1
ebi-a-GCST90001411	PCOS	PCOS	IgD+ CD24+ B cell %B cell	MR Egger	3	-0.0957284763985405	0.456903495578505	0.868519970117502	-0.99125932773241	0.799802374935329	0.908710718981461	0.371109048709594	2.22510114927968	1
ebi-a-GCST90001411	PCOS	PCOS	IgD+ CD24+ B cell %B cell	Weighted median	3	-0.260997650034251	0.142407763650622	0.066839944696009	-0.540116866789471	0.0181215667209688	0.770282729750984	0.582680152436053	1.01828675864799	1
ebi-a-GCST90001425	PCOS	PCOS	IgD- CD38+ B cell %lymphocyte	Inverse variance weighted	3	-0.0227813694043451	0.234369588262439	0.922565381125311	-0.482145762398725	0.436583023590035	0.977476166610167	0.617457053183724	1.54741070875193	1
ebi-a-GCST90001425	PCOS	PCOS	IgD- CD38+ B cell %lymphocyte	MR Egger	3	-0.266358610975182	0.0973550276556042	0.223083770266918	-0.457174465180167	-0.0755427567701982	0.766164323294935	0.633069881776495	0.927240083895238	1
ebi-a-GCST90001425	PCOS	PCOS	IgD- CD38+ B cell %lymphocyte	Weighted median	3	-0.0615222226268841	0.0972212508525479	0.526860124767028	-0.252075874297878	0.12903142904411	0.940332048858969	0.777185767407373	1.13772588124073	1
ebi-a-GCST90001431	PCOS	PCOS	IgD+ CD38- B cell %lymphocyte	Inverse variance weighted	5	0.264232270134872	0.236628749633852	0.264142599884654	-0.199560079147477	0.728024619417221	1.30243067691992	0.819091009045108	2.07098557968502	1
ebi-a-GCST90001431	PCOS	PCOS	IgD+ CD38- B cell %lymphocyte	MR Egger	5	0.0818011088607273	0.660501351906217	0.909268316730333	-1.21278154087546	1.37638375859691	1.08523994375454	0.297368984011026	3.96055338265097	1
ebi-a-GCST90001431	PCOS	PCOS	IgD+ CD38- B cell %lymphocyte	Weighted median	5	0.4693328021906	0.164322044304151	0.0042877636777034	0.147261595354464	0.791404009026735	1.59892703663845	1.15865702268318	2.20649218745767	1
ebi-a-GCST90001432	PCOS	PCOS	Unswitched memory B cell %lymphocyte	Inverse variance weighted	3	-0.0296631806901629	0.493518215456206	0.952071574674843	-0.996958882984326	0.937632521604	0.970772453396721	0.368999908472249	2.5539278862579	1
ebi-a-GCST90001432	PCOS	PCOS	Unswitched memory B cell %lymphocyte	MR Egger	3	5.58085559481882	1.64695169631134	0.182685768364591	2.35283027004858	8.80888091958905	265.298496728269	10.5152887552643	6693.42459388416	1
ebi-a-GCST90001432	PCOS	PCOS	Unswitched memory B cell %lymphocyte	Weighted median	3	0.180488568741464	0.258558749996806	0.485141975168127	-0.326286581252276	0.687263718735204	1.19780242901298	0.721598361234873	1.98826762368771	1
ebi-a-GCST90001436	PCOS	PCOS	Memory B cell %lymphocyte	MR Egger	3	0.416176680382995	0.293767723661745	0.391302452852751	-0.159608057994025	0.991961418760016	1.51615371982777	0.85247784537333	2.69651829032681	1
ebi-a-GCST90001436	PCOS	PCOS	Memory B cell %lymphocyte	Weighted median	3	0.40679700189443	0.186811891140544	0.0294376533565328	0.0406456952589645	0.772948308529896	1.50199917172606	1.04148303779012	2.16614330719462	1
ebi-a-GCST90001442	PCOS	PCOS	CD24+ CD27+ B cell %lymphocyte	Inverse variance weighted	3	-0.000798851657641105	0.455962594475083	0.998602097878985	-0.894485536828804	0.892887833513522	0.999201467339395	0.408817866284662	2.44217206407023	1
ebi-a-GCST90001442	PCOS	PCOS	CD24+ CD27+ B cell %lymphocyte	MR Egger	3	-0.952116931776459	1.33519097013554	0.605639475608256	-3.56909123324212	1.6648573696892	0.385923185052163	0.028181452414042	5.28491940630409	1
ebi-a-GCST90001442	PCOS	PCOS	CD24+ CD27+ B cell %lymphocyte	Weighted median	3	0.0958197836338736	0.248888596620748	0.700244339753804	-0.392001865742792	0.58364143301054	1.1005607070696	0.675702853271722	1.79255402590178	1
ebi-a-GCST90001463	PCOS	PCOS	CD62L- Dendritic Cell %Dendritic Cell	Inverse variance weighted	3	-0.153877532984857	0.196655047232852	0.433935845751279	-0.539321425561248	0.231566359591534	0.857377014986055	0.583143824639714	1.26057297490986	1
ebi-a-GCST90001463	PCOS	PCOS	CD62L- Dendritic Cell %Dendritic Cell	MR Egger	3	-0.162979452751325	0.374896577021931	0.738932045426398	-0.89777674371431	0.571817838211659	0.849608645355356	0.407474573847437	1.77148439827027	1
ebi-a-GCST90001463	PCOS	PCOS	CD62L- Dendritic Cell %Dendritic Cell	Weighted median	3	-0.186337152082585	0.118359722171714	0.115411391042007	-0.418322207539145	0.0456479033739749	0.8299937136942	0.658150133322496	1.046705804486	1
ebi-a-GCST90001465	PCOS	PCOS	CD86+ myeloid Dendritic Cell %Dendritic Cell	Inverse variance weighted	3	-0.117080236819682	0.0764341847478088	0.125577116376738	-0.266891238925387	0.0327307652860238	0.889513818540151	0.765756351420156	1.03327230901379	1
ebi-a-GCST90001465	PCOS	PCOS	CD86+ myeloid Dendritic Cell %Dendritic Cell	MR Egger	3	-0.0788369842845858	0.0853506768753728	0.525242895931446	-0.246124310960316	0.0884503423911448	0.924190569752884	0.78182502946416	1.09248000131891	1
ebi-a-GCST90001465	PCOS	PCOS	CD86+ myeloid Dendritic Cell %Dendritic Cell	Weighted median	3	-0.112173228923512	0.0578844380487544	0.0526375818069099	-0.225626727499071	0.0012802696520465	0.89388939658964	0.798015923477408	1.0012810895471	1
ebi-a-GCST90001477	PCOS	PCOS	HLA DR++ monocyte Absolute Count	Inverse variance weighted	4	0.403234186634002	0.347109216121891	0.245360377381225	-0.277099876964904	1.08356825023291	1.49665734777244	0.757978788708931	2.95520567330996	1
